t,theta_num,theta_small,error
3.528822055137844416e+00,7.676917800503656186e-02,1.142233248724168621e-01,-3.745414686738030019e-02
3.548872180451127623e+00,9.046537658915289326e-02,1.278474041535133110e-01,-3.738202756436041774e-02
3.568922305764410829e+00,1.040903246825472112e-01,1.413706518587934946e-01,-3.728032717624628345e-02
3.588972431077694036e+00,1.176333274950513846e-01,1.547824023796335602e-01,-3.714907488458217555e-02
3.609022556390977243e+00,1.310837696207991510e-01,1.680720780437813811e-01,-3.698830842298223009e-02
3.629072681704260450e+00,1.444311249944311704e-01,1.812291974578267018e-01,-3.679807246339553140e-02
3.649122807017543657e+00,1.576649666455684773e-01,1.942433837737416180e-01,-3.657841712817314073e-02
3.669172932330826864e+00,1.707749762306332297e-01,2.071043728729631828e-01,-3.632939664232995303e-02
3.689223057644110071e+00,1.837509533201412415e-01,2.198020214615698242e-01,-3.605106814142858274e-02
3.709273182957393278e+00,1.965828244360122157e-01,2.323263150701647961e-01,-3.574349063415258043e-02
3.729323308270676485e+00,2.092606518104828672e-01,2.446673759521571789e-01,-3.540672414167431170e-02
3.749373433583959692e+00,2.217746418636215022e-01,2.568154708742113601e-01,-3.504082901058985788e-02
3.769423558897242899e+00,2.341151533877770807e-01,2.687610187927209626e-01,-3.464586540494388189e-02
3.789473684210526105e+00,2.462727054168947771e-01,2.804945984102526491e-01,-3.422189299335787194e-02
3.809523809523809312e+00,2.582379847619930002e-01,2.920069556060000959e-01,-3.376897084400709570e-02
3.829573934837092519e+00,2.700018532439167895e-01,3.032890107343883535e-01,-3.328715749047156391e-02
3.849624060150375726e+00,2.815553545951615111e-01,3.143318657860715293e-01,-3.277651119091001819e-02
3.869674185463658933e+00,2.928897210389145300e-01,3.251268114056752867e-01,-3.223709036676075668e-02
3.889724310776942140e+00,3.039963794859629753e-01,3.356653337607534704e-01,-3.166895427479049507e-02
3.909774436090225347e+00,3.148669574225331225e-01,3.459391212565353091e-01,-3.107216383400218662e-02
3.929824561403508554e+00,3.254932884806820970e-01,3.559400710911713728e-01,-3.044678261048927581e-02
3.949874686716791761e+00,3.358674176778546072e-01,3.656602956463079201e-01,-2.979287796845331293e-02
3.969924812030074968e+00,3.459816062607144471e-01,3.750921287079481692e-01,-2.911052244723372207e-02
3.989974937343358175e+00,3.558283362830402807e-01,3.842281315126948593e-01,-2.839979522965457859e-02
4.010025062656641381e+00,3.654003148854870764e-01,3.930610986146058639e-01,-2.766078372911878747e-02
4.030075187969924144e+00,3.746904782228844821e-01,4.015840635680352766e-01,-2.689358534515079446e-02
4.050125313283207795e+00,3.836919950646602850e-01,4.097903044219777247e-01,-2.609830935731743962e-02
4.070175438596491446e+00,3.923982701789767713e-01,4.176733490215835953e-01,-2.527507884260682403e-02
4.090225563909774209e+00,4.008029474165760719e-01,4.252269801126619120e-01,-2.442403269608584004e-02
4.110275689223056972e+00,4.088999124616044534e-01,4.324452402451489097e-01,-2.354532778354445632e-02
4.130325814536340623e+00,4.166832953895235891e-01,4.393224364716706298e-01,-2.263914108214704068e-02
4.150375939849624274e+00,4.241474729910746366e-01,4.458531448374945527e-01,-2.170567184641991609e-02
4.170426065162907037e+00,4.312870708233512707e-01,4.520322146583338196e-01,-2.074514383498254899e-02
4.190476190476189799e+00,4.380969650402191107e-01,4.578547725826232484e-01,-1.975780754240413772e-02
4.210526315789473450e+00,4.445722840676483711e-01,4.633162264350690895e-01,-1.874394236742071840e-02
4.230576441102757101e+00,4.507084100661176707e-01,4.684122688384361188e-01,-1.770385877231844818e-02
4.250626566416039864e+00,4.565009801972149117e-01,4.731388806107205691e-01,-1.663790041350565740e-02
4.270676691729322627e+00,4.619458877472686908e-01,4.774923339350272133e-01,-1.554644618775852249e-02
4.290726817042606278e+00,4.670392831156694458e-01,4.814691952996485447e-01,-1.442991218397909892e-02
4.310776942355889929e+00,4.717775746545224691e-01,4.850663282060310166e-01,-1.328875355150854753e-02
4.330827067669172692e+00,4.761574293833324423e-01,4.882808956424902758e-01,-1.212346625915783349e-02
